465.333, 681.583, 1
636.5, 98.2222, 2
132.182, 767.909, 3
806.567, 586.067, 4
128.882, 260.647, 5
353, 39, 2
919, 905, 4
624, 651, 1
859, 593, 4
517, 959, 1
724, 636, 4
788, 946, 4
776, 403, 4
469, 413, 1
818, 453, 4
582, 593, 1
153, 548, 5
40, 666, 3
786, 602, 4
792, 834, 4
22, 44, 5
53, 534, 5
438, 727, 1
887, 504, 4
486, 728, 1
845, 600, 4
787, 59, 2
34, 620, 3
662, 62, 2
5, 637, 3
608, 182, 2
38, 243, 5
867, 607, 4
448, 116, 2
415, 553, 1
961, 821, 4
793, 88, 2
366, 12, 2
53, 378, 5
793, 424, 4
600, 338, 2
781, 877, 4
58, 488, 5
94, 350, 5
445, 499, 1
74, 715, 3
225, 750, 3
577, 818, 1
508, 98, 2
367, 809, 1
78, 463, 5
830, 809, 4
231, 645, 1
517, 952, 1
323, 954, 3
112, 829, 3
18, 276, 5
463, 463, 1
335, 168, 5
971, 752, 4
786, 507, 4
561, 623, 1
781, 12, 2
839, 59, 2
554, 917, 1
998, 790, 4
770, 344, 4
863, 361, 4
524, 232, 2
645, 503, 4
571, 975, 1
198, 276, 5
142, 726, 3
846, 470, 4
78, 741, 3
417, 576, 1
56, 188, 5
188, 46, 5
481, 867, 1
586, 268, 2
283, 537, 1
513, 629, 1
303, 124, 5
809, 4, 2
809, 531, 4
730, 338, 4
764, 531, 4
190, 2, 5
586, 371, 4
553, 17, 2
908, 801, 4
451, 608, 1
153, 876, 3
848, 98, 2
379, 395, 1
268, 933, 3
51, 62, 5
325, 781, 1
682, 305, 4
670, 522, 4
521, 14, 2
871, 70, 2
743, 442, 4
502, 640, 1
303, 241, 5
