23.0294, 41.3824, 1
107.824, 25.1471, 2
22.5263, 118.711, 3
27, 66, 1
35, 14, 1
141, 27, 2
145, 14, 2
108, 18, 2
69, 20, 2
20, 122, 3
20, 37, 1
18, 107, 3
31, 43, 1
149, 16, 2
139, 13, 2
22, 144, 3
22, 94, 3
18, 97, 3
40, 24, 1
83, 51, 2
38, 31, 1
134, 21, 2
106, 20, 2
97, 14, 2
15, 103, 3
135, 29, 2
96, 27, 2
11, 6, 1
12, 116, 3
2, 24, 1
98, 18, 2
70, 40, 2
32, 30, 1
85, 26, 2
146, 12, 2
10, 104, 3
10, 147, 1
106, 24, 2
124, 10, 2
120, 26, 2
92, 27, 2
31, 133, 3
78, 28, 2
3, 51, 1
10, 22, 1
14, 103, 3
96, 11, 2
29, 95, 3
21, 96, 3
14, 35, 1
17, 127, 3
125, 14, 2
142, 11, 2
133, 30, 2
31, 48, 1
24, 147, 3
29, 98, 3
110, 16, 2
35, 116, 3
80, 60, 2
83, 38, 2
80, 34, 2
19, 49, 1
105, 30, 2
125, 22, 2
19, 103, 3
128, 24, 2
30, 126, 3
150, 30, 2
101, 10, 2
79, 45, 2
105, 10, 2
96, 27, 2
132, 23, 2
11, 47, 1
33, 144, 3
134, 23, 2
16, 108, 3
127, 22, 2
7, 7, 1
25, 47, 1
132, 15, 2
63, 58, 1
18, 136, 3
27, 128, 3
15, 8, 1
21, 131, 3
34, 141, 3
115, 16, 2
21, 143, 3
27, 105, 3
100, 19, 2
38, 52, 1
30, 40, 1
24, 39, 1
105, 22, 2
31, 109, 3
73, 51, 2
145, 16, 2
28, 94, 3
117, 18, 2
16, 9, 1
63, 52, 1
16, 134, 3
17, 116, 3
26, 46, 1
67, 45, 2
67, 56, 2
29, 59, 1
8, 38, 1
6, 10, 1
141, 22, 2
32, 143, 3
14, 147, 3
71, 28, 2
15, 109, 3
73, 28, 2
83, 52, 2
23, 127, 3
101, 22, 2
69, 44, 2
22, 116, 3
21, 129, 3
79, 32, 2
12, 23, 1
92, 25, 2
18, 18, 1
120, 20, 2
103, 13, 2
28, 50, 1
122, 30, 2
96, 21, 2
107, 27, 2
29, 44, 1
106, 28, 2
61, 30, 2
22, 103, 3
146, 13, 2
143, 17, 2
122, 28, 2
12, 133, 1
124, 11, 2
32, 117, 3
